language,cast_num,cast_0,crew_num,director,genre_0,company_0,country
en,83,Sam Worthington,153,James Cameron,Action,Ingenious Film Partners,US
en,34,Johnny Depp,32,Gore Verbinski,Adventure,Walt Disney Pictures,US
en,83,Daniel Craig,155,Sam Mendes,Action,Columbia Pictures,GB
en,158,Christian Bale,217,Christopher Nolan,Action,Legendary Pictures,US
en,27,Taylor Kitsch,132,Andrew Stanton,Action,Walt Disney Pictures,US
en,143,Tobey Maguire,56,Sam Raimi,Fantasy,Columbia Pictures,US
en,13,Zachary Levi,79,Byron Howard,Animation,Walt Disney Pictures,US
en,72,Robert Downey Jr.,74,Joss Whedon,Action,Marvel Studios,US
en,49,Daniel Radcliffe,27,David Yates,Adventure,Warner Bros.,GB
en,152,Ben Affleck,111,Zack Snyder,Action,DC Comics,US
en,18,Brandon Routh,24,Bryan Singer,Adventure,DC Comics,US
en,32,Daniel Craig,17,Marc Forster,Adventure,Eon Productions,GB
en,33,Johnny Depp,23,Gore Verbinski,Adventure,Walt Disney Pictures,JM
en,60,Johnny Depp,35,Gore Verbinski,Action,Walt Disney Pictures,US
en,33,Henry Cavill,48,Zack Snyder,Action,Legendary Pictures,GB
en,21,Ben Barnes,83,Andrew Adamson,Adventure,Walt Disney,CZ
en,115,Robert Downey Jr.,147,Joss Whedon,Science Fiction,Paramount Pictures,US
en,35,Johnny Depp,39,Rob Marshall,Adventure,Walt Disney Pictures,US
en,18,Will Smith,21,Barry Sonnenfeld,Action,Amblin Entertainment,US
en,42,Martin Freeman,127,Peter Jackson,Action,WingNut Films,NZ
en,57,Andrew Garfield,106,Marc Webb,Action,Columbia Pictures,US
en,34,Russell Crowe,18,Ridley Scott,Action,Imagine Entertainment,GB
en,32,Martin Freeman,108,Peter Jackson,Adventure,WingNut Films,NZ
en,29,Dakota Blue Richards,32,Chris Weitz,Adventure,New Line Cinema,GB
en,33,Naomi Watts,38,Peter Jackson,Adventure,WingNut Films,NZ
en,136,Kate Winslet,65,James Cameron,Drama,Paramount Pictures,US
en,100,Chris Evans,119,Anthony Russo,Adventure,Studio Babelsberg,US
en,46,Taylor Kitsch,122,Peter Berg,Thriller,Universal Pictures,US
en,28,Chris Pratt,435,Colin Trevorrow,Action,Universal Studios,US
en,24,Daniel Craig,30,Sam Mendes,Action,Columbia Pictures,GB
en,76,Tobey Maguire,128,Sam Raimi,Action,Columbia Pictures,US
en,107,Robert Downey Jr.,29,Shane Black,Action,Marvel Studios,CN
en,35,Mia Wasikowska,24,Tim Burton,Family,Walt Disney Pictures,US
en,32,Hugh Jackman,39,Brett Ratner,Adventure,Ingenious Film Partners,CA
en,24,Billy Crystal,13,Dan Scanlon,Animation,Walt Disney Pictures,US
en,37,Shia LaBeouf,55,Michael Bay,Science Fiction,Paramount Pictures,US
en,41,Mark Wahlberg,86,Michael Bay,Science Fiction,Paramount Pictures,US
en,159,James Franco,31,Sam Raimi,Fantasy,Walt Disney Pictures,US
en,65,Andrew Garfield,102,Marc Webb,Action,Columbia Pictures,US
en,23,Garrett Hedlund,27,Joseph Kosinski,Adventure,Walt Disney Pictures,US
en,47,Owen Wilson,40,John Lasseter,Animation,Walt Disney Pictures,US
en,23,Ryan Reynolds,47,Martin Campbell,Adventure,De Line Pictures,US
en,45,Tom Hanks,38,Lee Unkrich,Animation,Walt Disney Pictures,US
en,15,Christian Bale,55,McG,Action,Columbia Pictures,DE
en,52,Vin Diesel,98,James Wan,Action,Universal Pictures,JP
en,22,Brad Pitt,31,Marc Forster,Action,Paramount Pictures,US
en,65,Hugh Jackman,86,Bryan Singer,Action,Twentieth Century Fox Film Corporation,GB
en,98,Chris Pine,107,J.J. Abrams,Action,Paramount Pictures,US
en,23,Nicholas Hoult,43,Bryan Singer,Action,New Line Cinema,US
en,31,Leonardo DiCaprio,18,Baz Luhrmann,Drama,Village Roadshow Pictures,US
en,13,Jake Gyllenhaal,46,Mike Newell,Adventure,Walt Disney Pictures,US
en,43,Idris Elba,27,Guillermo del Toro,Action,Legendary Pictures,US
en,39,Shia LaBeouf,29,Michael Bay,Action,Paramount Pictures,US
en,38,Harrison Ford,14,Steven Spielberg,Adventure,Lucasfilm,US
en,19,Raymond Ochoa,11,Peter Sohn,Adventure,Walt Disney Pictures,US
en,15,Kelly Macdonald,44,Brenda Chapman,Animation,Walt Disney Pictures,US
en,33,Chris Pine,108,Justin Lin,Action,Paramount Pictures,US
en,29,Ben Burtt,52,Andrew Stanton,Animation,Walt Disney Pictures,US
en,18,Chris Tucker,18,Brett Ratner,Action,New Line Cinema,US
en,52,John Cusack,115,Roland Emmerich,Action,Columbia Pictures,CA
en,18,Gary Oldman,9,Robert Zemeckis,Animation,Walt Disney,US
en,66,Mila Kunis,103,Lilly Wachowski,Science Fiction,Village Roadshow Pictures,US
en,34,Alexander Skarsgård,12,David Yates,Action,Village Roadshow Pictures,CA
en,24,William Moseley,29,Andrew Adamson,Adventure,Walt Disney,GB
en,95,James McAvoy,96,Bryan Singer,Science Fiction,Twentieth Century Fox Film Corporation,US
en,134,Christian Bale,81,Christopher Nolan,Drama,DC Comics,GB
en,16,Ed Asner,91,Pete Docter,Animation,Pixar Animation Studios,US
en,28,Seth Rogen,11,Conrad Vernon,Animation,DreamWorks Animation,US
en,87,Robert Downey Jr.,21,Jon Favreau,Action,Marvel Studios,US
en,28,Ben Kingsley,77,Martin Scorsese,Adventure,Paramount Pictures,FR
en,29,Will Smith,12,Barry Sonnenfeld,Action,"Todman, Simon, LeMasters Productions",US
en,15,Brendan Fraser,17,Rob Cohen,Adventure,Universal Pictures,DE
en,128,Will Smith,104,David Ayer,Action,DC Comics,US
en,18,Steve Carell,27,Tom Shadyac,Fantasy,Columbia Pictures,US
en,40,Tom Cruise,111,Doug Liman,Action,Village Roadshow Pictures,AU
en,15,Kevin Costner,57,Kevin Reynolds,Adventure,Universal Pictures,US
en,23,Dennis Quaid,23,Stephen Sommers,Adventure,Paramount Pictures,CZ
en,65,Amy Poehler,50,Pete Docter,Drama,Walt Disney Pictures,US
en,30,Neel Sethi,25,Jon Favreau,Family,Walt Disney Pictures,GB
en,115,Robert Downey Jr.,33,Jon Favreau,Adventure,Marvel Studios,US
en,36,Kristen Stewart,56,Rupert Sanders,Adventure,Universal Pictures,US
en,82,Angelina Jolie,14,Robert Stromberg,Fantasy,Walt Disney Pictures,US
en,33,Andy Serkis,148,Matt Reeves,Science Fiction,Ingenious Media,US
en,19,Josh Hartnett,79,Roland Joffé,Action,Corsan,AU
en,24,Keanu Reeves,81,Carl Rinsch,Drama,Mid Atlantic Films,US
en,70,Chris Evans,41,Anthony Russo,Action,Marvel Studios,US
en,35,Mike Myers,6,Mike Mitchell,Comedy,DreamWorks Animation,US
en,52,Britt Robertson,93,Brad Bird,Adventure,Walt Disney Pictures,US
en,46,Scott Adsit,39,Chris Williams,Adventure,Walt Disney Pictures,US
en,66,John C. Reilly,38,Rich Moore,Family,Walt Disney Animation Studios,US
en,10,Tom Hanks,147,Robert Zemeckis,Adventure,Golden Mean,US
en,67,Liam Hemsworth,109,Roland Emmerich,Action,Twentieth Century Fox Film Corporation,US
